input,output
I have for in my Family Dad Mum and sister .,I have four in my Family Dad Mum and sister .
My Dad work's at Melton,My Dad works at Melton
My siter go to Tonbury,My sister goes to Tonbury .
My Mum goes out some_times.,My Mum goes out sometimes.
i go too the Youth clob.,i go to the Youth club .
On thursday nights I go bell_ringing on Saturdays I go down to the farm .,On thursday nights I go bellringing on Saturdays I go down to the farm .
I go to bed at 10 o clock I wash TV at 5 o clock I live in a house .,I go to bed at 10 o clock I watch TV at 5 o clock I live in a house .
a case of mother,a case of murder
the bird is in it's next on the tree in the nest house,the bird is in its nest on the tree in the next house
The house is white it has stone up the frount it is the first from Bridgebrook and the sexeon from Smallerden .,The house is white it has stone up the front it is the first from Bridgebrook and the second from Smallerden .
i watch plates,i wash plates
she was mothered in her car,she was murdered in her car
her murder is with her father,her mother is with her father
I like mine book,i like my book
We wash Anglia I.T.V.,We watch Anglia I.T.V.
We have got Anglia like to wach cowboys .,We have got Anglia like to watch cowboys .
jesus take the will,jesus take the wheel
The affect of nail was notorious,The effect of nail was notorious
There enagement soon came .,Their engagement soon came .
Their engaged now .,They're engaged now .
The lunch was all ready smelling bad when the guests arrived,The lunch was already smelling bad when the guests arrived
The Rat is in their,The Rat is in there
The rat is a dirty creature it digs tunnels under the ground at night it goes in the chicken hut looking for meal and wheat then it goes to sleep in it's hot .,The rat is a dirty creature it digs tunnels under the ground at night it goes in the chicken hut looking for meal and wheat then it goes to sleep in its hut .
The mouse ate it's poison,The mouse ate its poison
The hut chocolate is in the cup,The hot chocolate is in the cup
"it makes a runway through rubbish and into meal beens where it eats the meal and soon as anybody comes , it jumps out of the meal beens along its runway and back in its nest .","it makes a runaway through rubbish and into meal bins where it eats the meal and soon as anybody comes , it jumps out of the meal beans along it's runway and back in is nest ."
The hear came running down the hill With a flash of brown its down the hill its Big brown ears prick out of the corn resting all day and playing all night with it's little fluffy tail dragging behind that crafty old hair laying in the barley,The hare came running down the hill With a flash of brown it's down the hill its Big brown ears prick out of the corn resting all day and playing all night with its little fluffy tail dragging behind that crafty old hare laying in the barley
The teem one the march .,the team won the match
i ate marchmallows,i ate mashmallows
lets match to the city,let's march to the city
she marched the potatoes,she mashed the potatoes
she used the marches to light the candle,she used the matches to light the candle
Their is a man look for a job is name is John WIGGLE is hair is Black is eye are Blue he is a big strong man he is walking down the street he his going into the lorry department he has just come out of the lorry depatment.,There is a man looking for a job his name is John WIGGLE his hair is Black his eyes are Blue he is a big strong man he is walking down the street he is going into the lorry department he has just come out of the lorry department .
the eyescubes are in the freezer,the icecubes are in the freezer
can she use her ice to see?,can she use her eyes to see?
she wanted are books,she wanted her books
they're are eyecubes in the cup,there are icecubes in the cup
she is using her ice to see the game,she is using her eyes to see the game
the nurse kept the woman in the hospital word,the nurse kept the woman in the hospital ward
My Dad works in the store were we by food .,My Dad work in the store where we buy food .
she drew a cycle in her book,she drew a circle in her book
the patient is in the word,the patient is in the ward
it makes scents to buy the food hear,it makes sense to buy the food here
""" Well "" were in here now , lets|let's go and get a table , ah theres one over there said Leon , OK lets go and sit down , I'll go and get some drinks said Rex ,",""" Well "" we're in here now , let's go and get a table , ah there's one over there said Leon , OK let's go and sit down , I'll go and get some drinks said Rex ,"
"After the Drink, we got bears for the house","After the Drink, we got beers for the house"
When I live School,When I leave School
"I am going to live school at 15 , at Easter , 1962 , and I shall work for two years at least before I think about getting a boy .","I am going to leave school at 15 , at Easter , 1962 , and I shall work for two years at least before I think about getting a boy ."
she is having are menstrual circle,she is having her menstrual cycle
I want too get married in white .,I want to get married in white .
"For the first summer holiday , I would like two go to Butlin's holiday camp .","For the first summer holiday , I would like to go to Butlin's holiday camp ."
the best boy friend I ever had .,the best boyfriend I ever had .
But we still send letters and post_cards to each other to here from each other .,But we still send letters and postcards to each other to hear from each other .
So that we her still together.,So that we are still together .
So we all leaved hear happily ever after .,So we all lived here happily ever after .
Because itsnight time and dark and the dog has eaten it's food.,Because it's night time and dark and the dog has eaten its food.
we are wereing the pants,we are wearing the pants
You never seam to study.,You never seem to study.
You don't seam to be very happy.,You don't seem to be very happy.
For some reason that didn't seam likely.,For some reason that didn't seem likely.
Doesn't seam too great.,Doesn't seem too great.
"Christmas was only a few days away, and yet it didn't seam like Christmas.","Christmas was only a few days away, and yet it didn't seem like Christmas."
She as on a pretty read dress.,She has on a pretty red dress.
He held out a bottle of read water.,He held out a bottle of red water.
"Both breathed hard, and she noticed a read slash across Darian's face.","Both breathed hard, and she noticed a red slash across Darian's face."
Alex turned read when Carmen stepped forward.,Alex turned red when Carmen stepped forward.
Don't forget the mess of read hair and freckles.,Don't forget the mess of red hair and freckles.
She blue out a breath.,She blew out a breath.
She grabbed a tissue from the box on the counter and blue her nose.,She grabbed a tissue from the box on the counter and blew her nose.
She wiped her eyes and blue her nose.,She wiped her eyes and blew her nose.
Everything almost blue up a few months ago.,Everything almost blew up a few months ago.
The snow started shortly after they left and the wind blue it horizontal.,The snow started shortly after they left and the wind blew it horizontal.
ROSEMARY I don't surpose you want me any more so I wont come with you any more,ROSEMARY I don't suppose you want me any more so I won't come with you any more
BERNARD come of it I love you very much,BERNARD come off it I love you very much
the sense are nice,the scents are nice
they her getting maried,they are getting married
Ones upon a time there was this man standing by the shore and when all the people came pass him Well it all happend when he was very sad he decided to go for a walk until a lonely woman came along .,Once upon a time there was this man standing by the shore and when all the people came past him Well it all happened when he was very sad he decided to go for a walk until a lonely woman came along .
DAVID Oh its nothing really its just that I am very miserable because he had no one to talk to,DAVID Oh it's nothing really it's just that I am very miserable because he had no one to talk to
can you here them?,can you hear them?
she drank a bear,she drank a beer
MARY yes Id Love to wear shall we go,MARY yes I'd Love to. where shall we go
DAVID all right then come on,DAVID alright then come on
she is in so much death,she is in so much debt
her you ready?,are you ready?
DAVID I am enjoying these arent you .,DAVID I am enjoying this aren't you .
MARY yes its very nice indeed,MARY yes it's very nice indeed
by me some pancakes,buy me some pancakes
MARY Oh Ill have ice-cream and what will you have,MARY Oh I'll have ice-cream and what will you have
the cow beers it's young once,the cow bears its young ones
"DAVID Well that was very good wasnt it , Mary","DAVID Well that was very good wasn't it , Mary"
will you mary me hear?,will you marry me here?
DAVID lets go and get married and get a house somewhere but the point is will you marry me Mary I love you very much,DAVID let's go and get married and get a house somewhere but the point is will you marry me Mary I love you very much
MARY yes Id love to pet Ill have to think about it first I have thought about it I will mary you,MARY yes I'd love to pet I'll have to think about it first I have thought about it I will marry you
So they got married and lived hear happily ever after .,So they got married and lived here happily ever after .
wear her we going two,where are we going to
wear her are my bags,where are her bags
where are clothes,wear her clothes
she is wear she is,she is where she is
they where at the store,they were at the store
Mr . Holbrook is to soft with us by not teaching us spellings .,Mr . Holbrook is too soft with us by not teaching us spellings .
they're her going to are party two,they are going to her party too
she blue me away,she blew me away
Don't lose fate in yourself.,Don't lose faith in yourself.
Don't you have any fate in me at all?,Don't you have any faith in me at all?
Thanks for all the fate you have in me.,Thanks for all the faith you have in me.
You had fate in my judgment then.,You had faith in my judgment then.
I have fate only in God and the lofty destiny of our adored monarch.,I have faith only in God and the lofty destiny of our adored monarch.
"Everything happens for a reason, and fate will lead you to your faith.","Everything happens for a reason, and faith will lead you to your fate."
what is our faith? she asked the doctor,what is our fate? she asked the doctor
We right a lot of stories but we nearly all enjoy writing them .,We write a lot of stories but we nearly all enjoy writing them .
"Most people use a machine to seam clothing, because machine stitches are much more even than hand-sown stitches.","Most people use a machine to seam clothing, because machine stitches are much more even than hand-sewn stitches."
"When we right stories , I think the story is much more important than the spellings , and puntuation.","When we write stories , I think the story is much more important than the spellings , and punctuation ."
thats your faith of destiny,that's your fate of destiny
"When we have Mr Holbrook we have to right a story , and sometimes we write for pages or more and we plenty of the idea your tinking of .","When we have Mr Holbrook we have to write a story , and sometimes we write four pages or more and we plenty of the idea you're thinking of ."
have fate in me,have faith in me
"we have to work hard , and it tacks hard work to write thoese story and it very hard when people say he soft on us .","we have to work hard , and it takes hard work to write these stories and it very hard when people say he soft on us ."
she is a solewinner,she is a soulwinner
I think Mr T shoold come and see Mr .,I think Mr T should come and see Mr .
The dressmaker uses her sewing machine to carefully sew the seems for the dress,The dressmaker uses her sewing machine to carefully sew the seams for the dress
I can fix the hole in my shirt. The cloth isn't torn; the seem just came apart.,I can fix the hole in my shirt. The cloth isn't torn; the seam just came apart.
I have cut the cloth for the dress; now I must seem the pieces together.,I have cut the cloth for the dress; now I must seam the pieces together.
Have a little fate in yourself.,Have a little faith in yourself.
"I asked, confirming my lack of fate in the couple's long term relationship.","I asked, confirming my lack of faith in the couple's long term relationship."
"I had complete fate that what my parents did was right, whatever it was.","I had complete faith that what my parents did was right, whatever it was."
She should have more fate in him.,She should have more faith in him.
"If he wanted her to have fate in him, he'd best show a little in her.","If he wanted her to have faith in him, he'd best show a little in her."
